68.0	29.13	1.24		
70.0	24.67	1.06		
72.0	20.98	0.88		
74.0	18.01	0.74		
76.0	15.71	0.62		
78.0	13.88	0.54		
80.0	12.34	0.48		
82.0	11.11	0.42		
84.0	10.15	0.38		
86.0	9.44	0.34		
88.0	8.92	0.32		
90.0	8.54	0.32		
92.0	8.32	0.30		
94.0	8.23	0.30		
96.0	8.23	0.30		
98.0	8.25	0.32		
100.0	8.26	0.30		
102.0	8.23	0.30		
104.0	8.17	0.30		
106.0	8.07	0.30		
108.0	7.96	0.30		
110.0	7.82	0.30		
112.5	7.64	0.28		
115.0	7.46	0.28		
117.5	7.27	0.28		
120.0	7.14	0.26		
121.6	7.04	0.26		
125.0	6.85	0.25		
130.0	6.78	0.24		
135.0	6.75	0.22		
140.0	6.76	0.22		
145.0	6.83	0.22		
150.0	6.92	0.22		
155.0	7.11	0.23		
160.0	7.35	0.23		
165.0	7.49	0.24		
170.0	7.57	0.24		
175.0	7.82	0.20		
180.0	8.16	0.12		
185.0	8.51	0.12		
190.0	8.89	0.13		
195.0	9.27	0.13		
200.0	9.55	0.14		
